area_type,availability,location,size,society,total_sqft,bath,balcony,price
Built-up  Area,Ready To Move,Basavangudi,1 Bedroom,Unknown,600.0,1.0,0.0,97.5
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,PuandHi,1660.0,3.0,3.0,75.0
Super built-up  Area,Ready To Move,Jayanagar,2 BHK,Rakulai,1170.0,2.0,3.0,105.0
Super built-up  Area,Ready To Move,Somasundara Palya,2 BHK,Srhts P,1448.0,2.0,2.0,68.0
Super built-up  Area,18-May,Kadugodi,3 BHK,Alestrb,1762.0,3.0,3.0,110.0
Super built-up  Area,Ready To Move,Kaggadasapura,2 BHK,SLireap,1105.0,2.0,1.0,38.65
Super built-up  Area,18-Mar,Yelahanka,3 BHK,Miitat ,1825.0,3.0,1.0,105.0
Super built-up  Area,19-Dec, Bhoganhalli,1 RK,Rosha I,296.0,1.0,0.0,22.89
Plot  Area,Ready To Move,Kumbalgodu,5 Bedroom,Unknown,1200.0,4.0,1.0,85.0
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,MenueNo,1185.0,2.0,2.0,43.0
Built-up  Area,18-Aug,Electronic City Phase II,3 BHK,Sryalan,1320.0,2.0,1.0,38.12
Super built-up  Area,Ready To Move,Hulimavu,2 BHK,Suelsa ,1058.0,2.0,1.0,48.0
Super built-up  Area,Ready To Move,Bellandur,2 BHK,Unknown,1220.0,2.0,2.0,60.0
Super built-up  Area,18-Aug,Sarjapur,2 BHK,Unknown,925.0,2.0,1.0,25.0
Super built-up  Area,18-May,Old Madras Road,2 BHK,Brglede,1200.0,2.0,1.0,72.0
Super built-up  Area,Ready To Move,Kengeri,3 BHK,Unknown,1160.0,2.0,2.0,40.6
Plot  Area,Ready To Move,Kengeri Satellite Town,3 Bedroom,Unknown,600.0,4.0,3.0,72.0
Super built-up  Area,18-Jul,banashankari stage iii sa,3 BHK,Unknown,1411.0,3.0,2.0,91.72
Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,SNity S,1550.0,3.0,2.0,78.0
Super built-up  Area,Ready To Move,Green Glen Layout,4 BHK,Unknown,2490.0,4.0,3.0,225.0
Super built-up  Area,Ready To Move,Haralur Road,3 BHK,NDionas,2475.0,4.0,2.0,130.0
Super built-up  Area,22-May,Jakkur,4 BHK,SoineC ,1275.0,2.0,2.0,225.0
Super built-up  Area,19-Dec,7th Phase JP Nagar,4 BHK,Puarero,2490.0,4.0,0.0,188.0
Super built-up  Area,Ready To Move,Marathahalli,4 BHK,Prionad,2490.0,4.5,2.0,190.0
Super built-up  Area,Ready To Move,Kaggadasapura,2 BHK,Unknown,1063.0,2.0,2.0,42.0
Super built-up  Area,Ready To Move,Kanakpura Road,2 BHK,Unknown,1077.0,2.0,1.0,37.7
Super built-up  Area,Ready To Move,Manayata Tech Park,2 BHK,Unknown,1200.0,3.0,2.0,44.0
Built-up  Area,Ready To Move,Hosakerehalli,4 BHK,Unknown,1500.0,3.0,2.0,70.0
Super built-up  Area,Ready To Move,Jalahalli,2 BHK,Vaniai ,1045.0,2.0,2.0,76.77
Super built-up  Area,Ready To Move,Kanakapura,3 BHK,SPavenc,1290.0,2.0,3.0,45.15
Super built-up  Area,Ready To Move,Hoodi,2 BHK,SMaxyay,1400.0,2.0,1.0,78.0
Built-up  Area,Ready To Move,Begur Road,3 BHK,Unknown,1600.0,3.0,2.0,58.14
Super built-up  Area,Ready To Move,Jayanagar,3 BHK,Unknown,2490.0,3.0,3.0,225.0
Super built-up  Area,Ready To Move,Nagavara,3 BHK,Unknown,1545.0,2.0,1.0,58.0
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Mades G,1680.0,3.0,1.0,112.0
Built-up  Area,Ready To Move,Amruthnagar,2 BHK,Unknown,1350.0,2.0,1.0,67.5
Super built-up  Area,Ready To Move,Gottigere,2 BHK,Unknown,950.0,2.0,1.0,38.0
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,Unknown,1050.0,2.0,2.0,45.0
Super built-up  Area,Ready To Move,Banashankari Stage V,3 BHK,Unknown,1305.0,2.0,2.0,49.0
Plot  Area,Ready To Move,Hosakerehalli,4 Bedroom,Unknown,800.0,4.0,2.0,120.0
Built-up  Area,18-Feb,Kodichikkanahalli,5 BHK,Unknown,2490.0,4.5,2.0,125.0
Plot  Area,Ready To Move,MS Pallya,3 Bedroom,Unknown,1100.0,3.0,1.0,78.0
Built-up  Area,Ready To Move,Thanisandra,6 Bedroom,Unknown,2490.0,4.5,0.0,160.0
Super built-up  Area,19-Oct,Begur Road,3 BHK,Pruthg ,1634.0,3.0,1.0,83.33
Super built-up  Area,Ready To Move,Prithvi Layout,2 BHK,Prlmsge,1352.0,2.0,2.0,85.0
Super built-up  Area,17-Sep,Balagere,2 BHK,HiqueMa,1145.0,2.0,2.0,65.0
Super built-up  Area,18-May,Alfa Garden Layout,2 BHK,Unknown,1240.0,2.0,2.0,43.79
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,BriumMi,2200.0,3.0,2.0,190.0
Super built-up  Area,18-Mar,Bommasandra Industrial Area,2 BHK,Unknown,1020.0,2.0,1.0,39.0
Super built-up  Area,Ready To Move,Palace Guttahalli,4 BHK,Unknown,2490.0,4.0,2.0,225.0
Super built-up  Area,18-Aug,Raja Rajeshwari Nagar,2 BHK,Prllsan,1168.0,2.0,1.0,61.0
Super built-up  Area,18-Jul,Electronic City Phase II,2 BHK,SNbay G,1205.0,2.0,1.0,75.0
Super built-up  Area,Ready To Move,Yeshwanthpur,2 BHK,Vatra N,1195.0,2.0,2.0,100.0
Built-up  Area,Ready To Move,CV Raman Nagar,2 BHK,Unknown,1028.0,2.0,1.0,49.0
Super built-up  Area,Ready To Move,Akshya Nagar,2 BHK,Unknown,1175.0,2.0,2.0,48.27
Super built-up  Area,Ready To Move,Pai Layout,3 BHK,Saent A,1550.0,2.0,2.0,90.0
Super built-up  Area,Ready To Move,Yeshwanthpur,3 BHK,Unknown,1826.0,3.0,2.0,165.0
Plot  Area,Ready To Move,Hoodi,5 Bedroom,Unknown,2400.0,4.5,2.0,160.0
Super built-up  Area,Ready To Move,Yelahanka,3 BHK,Niareum,1603.0,3.0,2.0,96.0
Built-up  Area,Ready To Move,Marathahalli,3 BHK,Unknown,1350.0,3.0,1.0,72.0
Built-up  Area,Ready To Move,KR Puram,1 BHK,Unknown,714.0,1.0,1.0,28.0
Super built-up  Area,18-Nov,Whitefield,2 BHK,Unknown,1215.0,2.0,3.0,65.0
Built-up  Area,Ready To Move,Malleshpalya,3 BHK,MancyRe,1405.0,2.0,2.0,77.0
Super built-up  Area,Ready To Move,KR Puram,2 BHK,MCvarar,1142.0,2.0,1.0,51.0
Built-up  Area,Ready To Move,Akshaya Vana,4 Bedroom,Unknown,2490.0,4.0,3.0,170.0
Super built-up  Area,Ready To Move,Whitefield,3 BHK,Brony H,1870.0,3.0,2.0,90.0
Super built-up  Area,Ready To Move,Subramanyapura,2 BHK,Chllsev,1313.0,2.0,2.0,73.0
Built-up  Area,Ready To Move,Hennur Gardens,3 BHK,PlhtsHe,1945.0,3.0,3.0,120.0
Super built-up  Area,17-Jul,Thanisandra,3 BHK,Bhmesy ,1573.0,3.0,2.0,95.0
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,Mades G,1255.0,2.0,1.0,92.0
Super built-up  Area,Ready To Move,Benson Town,4 BHK,Unknown,1400.0,3.0,2.0,91.15
Super built-up  Area,18-May,Kannamangala,2 BHK,Unknown,1235.0,2.0,2.0,43.63
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Shthi S,1380.0,2.0,1.0,52.0
Plot  Area,Ready To Move,Ramamurthy Nagar,7 Bedroom,Unknown,1500.0,4.5,2.0,225.0
Super built-up  Area,18-Oct,Chennammana Kere,3 BHK,Unknown,1465.0,2.0,3.0,74.72
Super built-up  Area,Ready To Move,Thigalarapalya,2 BHK,Unknown,1418.0,2.0,2.0,103.0
Super built-up  Area,Ready To Move,Victoria Layout,3 BHK,Unknown,1650.0,3.0,1.0,165.0
Built-up  Area,Ready To Move, Anekal,1 RK,Unknown,351.0,1.0,1.0,16.0
Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,Sagnage,1279.0,2.0,2.0,48.0
Built-up  Area,Ready To Move,Kasavanhalli,3 Bedroom,Unknown,1870.0,3.0,1.0,200.0
Plot  Area,Ready To Move,BCC Layout,4 Bedroom,Unknown,1500.0,4.5,1.0,225.0
Super built-up  Area,19-Oct,Hebbal,3 BHK,SNontle,2490.0,2.0,2.0,225.0
Plot  Area,Ready To Move,Mathikere,3 Bedroom,Unknown,1550.0,2.0,1.0,150.0
Super built-up  Area,Ready To Move,Rajaji Nagar,4 BHK,PhestOn,1275.0,2.0,2.0,225.0
Super built-up  Area,18-Aug,Uttarahalli,3 BHK,DSera S,1845.0,2.0,1.0,68.27
Super built-up  Area,Ready To Move,Motappa Layout,3 BHK,Puodse ,1360.0,2.0,1.0,59.27
Built-up  Area,Ready To Move,Friends Colony,3 BHK,Unknown,1150.0,2.0,1.0,75.0
Super built-up  Area,Ready To Move,Whitefield,2 BHK,Sancya ,1260.0,2.0,2.0,49.5
Plot  Area,Ready To Move,Doddabidrakallu,3 Bedroom,Unknown,1200.0,3.0,1.0,74.0
Built-up  Area,Ready To Move,Dasanapura,2 BHK,Tavenew,965.0,2.0,1.0,42.5
Built-up  Area,Ready To Move,Hoodi,3 BHK,Adion M,1350.0,2.0,3.0,48.0
Super built-up  Area,18-Jul,Bhoganhalli,2 BHK,Rosha I,1447.0,2.0,1.0,75.97
Super built-up  Area,Ready To Move,Arehalli,3 BHK,Unknown,1229.0,3.0,1.0,86.03
Super built-up  Area,Ready To Move,Kudlu,2 BHK,Unknown,1027.0,2.0,2.0,43.0
Super built-up  Area,Ready To Move,Gottigere,2 BHK,M denGa,1153.0,2.0,1.0,48.5
Super built-up  Area,18-Dec,Whitefield,4 BHK,Prtates,1275.0,4.5,0.0,145.5
Super built-up  Area,Ready To Move,Malleshpalya,2 BHK,A idse ,1065.0,2.0,2.0,50.0
Built-up  Area,Ready To Move,Tala Cauvery Layout,2 BHK,Skarkev,1030.0,2.0,3.0,61.0
Super built-up  Area,Ready To Move,Mallasandra,2 BHK,Unknown,1340.0,2.0,2.0,61.0
Built-up  Area,Ready To Move,Sri Balaji Krupa Layout,1 Bedroom,Unknown,600.0,1.0,0.0,32.0
Super built-up  Area,Ready To Move,Begur Road,3 BHK,Dhalsh ,1410.0,2.0,3.0,44.42
Super built-up  Area,20-Dec,Varthur,2 BHK,Myple M,1055.0,2.0,2.0,45.35
Super built-up  Area,18-May,Yelahanka,2 BHK,Prensya,1304.0,2.0,1.0,79.0
Super built-up  Area,18-Feb,Sadashiva Nagar,4 BHK,Unknown,2490.0,4.0,1.0,225.0
Built-up  Area,Ready To Move,Kammasandra,2 BHK,Puitea ,990.0,2.0,1.0,31.5
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,Unknown,1035.0,2.0,1.0,39.33
Super built-up  Area,21-Jun,Tumkur Road,1 BHK,Coowsri,1275.0,1.0,0.0,30.09
Super built-up  Area,Ready To Move,Sonnenahalli,2 BHK,Unknown,1120.0,2.0,2.0,43.0
Super built-up  Area,Ready To Move,Haralur Road,2 BHK,NDionas,1300.0,2.0,2.0,73.0
Super built-up  Area,21-Jan,Tumkur Road,2 BHK,Sapus S,1239.0,2.0,1.0,82.0
Super built-up  Area,Ready To Move,Hosa Road,2 BHK,Sosisic,1365.0,2.0,1.0,92.0
Super built-up  Area,Ready To Move,8th block Koramangala,2 BHK,Sid 2ss,1165.0,2.0,1.0,135.0
Super built-up  Area,Ready To Move,Subramanyapura,3 BHK,Unknown,1130.0,2.0,3.0,45.19
Super built-up  Area,Ready To Move,Green Glen Layout,3 BHK,Solia D,1776.42,3.0,2.0,105.0
Plot  Area,Ready To Move,Vidyaranyapura,4 Bedroom,Unknown,900.0,4.0,3.0,175.0
Super built-up  Area,Ready To Move,Bidadi,2 BHK,Etuney ,1107.0,2.0,2.0,33.0
Super built-up  Area,Ready To Move,Nagavara,3 BHK,Unknown,2319.0,3.0,2.0,180.0
Super built-up  Area,Ready To Move,Nallurhalli,3 BHK,DNtonri,1520.0,3.0,3.0,80.0
Super built-up  Area,19-Jul,Kannamangala,3 BHK,Sonue A,1536.0,3.0,1.0,89.0
Built-up  Area,Ready To Move,Teachers Colony,4 BHK,Unknown,2490.0,4.0,2.0,225.0
Super built-up  Area,Ready To Move,Belathur,2 BHK,Viiniai,1050.0,2.0,1.0,38.0
Super built-up  Area,22-Jun,Hoodi,3 BHK,GoAirej,1850.0,3.0,2.0,146.0
Super built-up  Area,Ready To Move,Billekahalli,2 BHK,Diisein,1112.0,2.0,2.0,62.0
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,Unknown,1535.0,3.0,2.0,72.5
Built-up  Area,Ready To Move,Kanakpura Road,2 BHK,Unknown,1050.0,2.0,1.0,35.0
Plot  Area,Ready To Move,Banashankari,4 Bedroom,Unknown,2400.0,3.0,2.0,225.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,JDensar,1250.0,3.0,2.0,65.0
Super built-up  Area,Ready To Move,Kalena Agrahara,2 BHK,CSvelMa,1187.0,2.0,3.0,52.0
Built-up  Area,Ready To Move,9th Phase JP Nagar,2 BHK,Unknown,1164.0,2.0,1.0,56.0
Super built-up  Area,18-May,Electronic City Phase II,3 BHK,SNbay G,1395.0,2.0,1.0,62.78
Super built-up  Area,18-Jul,Arekere,3 BHK,RRnumn ,2072.0,3.0,2.0,108.0
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,JRrnauv,1450.0,3.0,3.0,60.91
Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,SNity S,1550.0,3.0,2.0,82.0
Super built-up  Area,Ready To Move,Sampige Layout,2 BHK,Unknown,1315.0,2.0,2.0,90.0
Super built-up  Area,19-Dec,Hebbal,4 BHK,SNontle,2490.0,4.0,3.0,225.0
Super built-up  Area,Ready To Move,Amruthnagar,2 BHK,Saeur G,1210.0,2.0,2.0,72.0
Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,Prityel,1075.0,2.0,1.0,47.0
Super built-up  Area,Ready To Move,Sathya Sai Layout,6 BHK,Prowshi,2490.0,4.5,1.0,225.0
Super built-up  Area,18-May,Virgonagar,3 BHK,Unknown,1215.0,3.0,1.0,42.2
Built-up  Area,Ready To Move,Kaggadasapura,3 BHK,Prmesad,1470.0,2.0,2.0,75.0
Plot  Area,18-Jul,Dodsworth Layout,4 Bedroom,Unknown,2490.0,4.0,2.0,225.0
Built-up  Area,Ready To Move,Hosur Road,3 BHK,Saageat,1590.0,2.0,2.0,125.0
Super built-up  Area,Ready To Move,Kanakpura Road,2 BHK,Shdhia ,1050.0,2.0,1.0,36.75
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,GrrvaGr,1306.0,2.0,1.0,55.91
Built-up  Area,Ready To Move,Malleshwaram,3 BHK,Maens G,2000.0,3.0,2.0,225.0
Built-up  Area,Ready To Move,"Kudlu Village, ",3 BHK,Unknown,1445.0,3.0,2.0,64.0
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Unknown,1220.0,3.0,2.0,58.0
Plot  Area,Ready To Move,Sarjapur,4 Bedroom,Puodsm ,2490.0,3.0,1.0,160.0
Super built-up  Area,18-May,Ramagondanahalli,2 BHK,ViistLa,1215.0,2.0,1.0,51.26
Built-up  Area,Ready To Move,Budigere,3 BHK,PrityTr,1920.0,2.0,1.0,88.0
Super built-up  Area,Ready To Move,Dodda Nekkundi,2 BHK,Unknown,1390.0,2.0,2.0,60.0
Plot  Area,Ready To Move,Battarahalli,3 Bedroom,Unknown,800.0,2.0,1.0,75.0
Plot  Area,Ready To Move,Nagarbhavi,3 Bedroom,Unknown,600.0,3.0,2.0,100.0
Super built-up  Area,21-Jul,Hoodi,2 BHK,GoAirej,1196.0,2.0,0.0,71.74
Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,Siaraa ,1550.0,2.0,2.0,75.0
Super built-up  Area,Ready To Move,Thigalarapalya,2 BHK,Prtanha,1418.0,2.0,2.0,101.0
Super built-up  Area,19-Mar,Varthur Road,3 BHK,Unknown,1655.0,3.0,2.0,115.0
Built-up  Area,Ready To Move,KR Puram,2 BHK,SancyRe,1115.0,2.0,2.0,33.45
Super built-up  Area,Ready To Move,Rajiv Gandhi Nagar,2 BHK,NCiteEl,1170.0,2.0,2.0,68.0
Super built-up  Area,Ready To Move,Anekal,2 BHK,Sraveks,1035.0,2.0,2.0,38.3
Super built-up  Area,Ready To Move,Singasandra,3 BHK,Unknown,1306.0,2.0,2.0,58.0
Super built-up  Area,18-Dec,Kengeri,2 BHK,VBn 2lm,750.0,2.0,2.0,22.0
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Bhmesy ,1917.0,3.0,3.0,122.0
Super built-up  Area,Ready To Move,Kaggadasapura,3 BHK,Frowsru,1615.0,3.0,3.0,58.0
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,Unknown,1071.0,2.0,2.0,52.25
Super built-up  Area,Ready To Move,Koramangala,2 BHK,Suryais,1325.0,2.0,2.0,119.0
Plot  Area,Ready To Move,Malleshwaram,7 Bedroom,Unknown,2490.0,4.0,2.0,225.0
Super built-up  Area,Ready To Move,5th Phase JP Nagar,3 BHK,Unknown,1400.0,2.0,1.0,88.0
Super built-up  Area,21-Jan,Tumkur Road,2 BHK,Sapus S,1246.0,2.0,1.0,82.0
Built-up  Area,Ready To Move,Sarjapur,2 BHK,Coa It ,1215.0,2.0,0.0,40.0
Super built-up  Area,Ready To Move,Munnekollal,2 BHK,Akave E,1200.0,2.0,2.0,49.5
Plot  Area,Ready To Move,Kurubarahalli,4 Bedroom,Unknown,450.0,3.0,1.0,53.0
Super built-up  Area,Ready To Move,Kodigehaali,2 BHK,Shyas S,1200.0,2.0,2.0,60.0
Built-up  Area,Ready To Move,Kaval Byrasandra,2 BHK,Unknown,945.0,2.0,2.0,50.0
Super built-up  Area,Ready To Move,Benson Town,4 BHK,Unknown,2490.0,4.5,2.0,225.0
Super built-up  Area,Ready To Move,Hormavu,2 BHK,Nadhian,1175.0,2.0,1.0,52.0
Super built-up  Area,Ready To Move,Whitefield,2 BHK,SrireSo,920.0,2.0,1.0,63.0
Plot  Area,Ready To Move,Bidadi,2 Bedroom,Unknown,1600.0,2.0,2.0,110.0
Plot  Area,Ready To Move,Sanjay nagar,4 Bedroom,Unknown,750.0,2.0,0.0,110.0
Plot  Area,Ready To Move,Sector 4 HSR Layout,4 Bedroom,Unknown,2400.0,4.0,2.0,225.0
Built-up  Area,Ready To Move,Bhagyalakshmi Avenue,2 BHK,Prineth,955.0,1.0,2.0,34.01
Super built-up  Area,Ready To Move,Ardendale,3 BHK,SoystAm,1750.0,3.0,3.0,100.0
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,Suitea ,1425.0,2.0,2.0,64.0
Super built-up  Area,Ready To Move,Basavangudi,3 BHK,Brsic C,2150.0,3.0,2.0,225.0
Super built-up  Area,20-Dec,Whitefield,2 BHK,Unknown,1165.0,2.0,1.0,40.5
Super built-up  Area,Ready To Move,Kaggadasapura,2 BHK,Maidei ,1050.0,2.0,2.0,48.0
Super built-up  Area,Ready To Move,Cholanayakanahalli,3 BHK,ShourSp,1370.0,2.0,2.0,75.0
Super built-up  Area,18-Apr,Electronic City,3 BHK,Prarkun,1374.0,2.0,1.0,72.0
Super built-up  Area,Ready To Move,Harlur,3 BHK,SosicCl,1754.0,3.0,2.0,124.0
Super built-up  Area,Ready To Move,Kothanur,3 BHK,Somumys,1847.0,3.0,2.0,110.0
Super built-up  Area,Ready To Move,Ambedkar Nagar,3 BHK,SoechHa,1850.0,4.0,3.0,139.0
Plot  Area,18-May,Chikka Tirupathi,3 Bedroom,Theanmp,2490.0,3.0,1.0,135.0
Super built-up  Area,Ready To Move,Doddakannelli,2 BHK,BMtusLo,1187.0,2.0,2.0,45.0
Built-up  Area,18-Dec,Bommasandra Industrial Area,3 BHK,Unknown,1400.0,2.0,1.0,40.44
Plot  Area,Ready To Move,Kengeri Hobli,3 Bedroom,Unknown,600.0,2.0,0.0,30.0
Super built-up  Area,Ready To Move,Chamrajpet,2 BHK,Unknown,1350.0,2.0,3.0,180.0
Plot  Area,Ready To Move,Doddaballapur,3 Bedroom,Raourpl,2490.0,2.0,2.0,120.0
Super built-up  Area,21-Dec,Thanisandra,1 BHK,Bhe 2ko,693.0,1.0,1.0,34.3
Super built-up  Area,21-May,Dairy Circle,3 BHK,Soeurri,1980.0,3.0,2.0,224.0
Super built-up  Area,Ready To Move,KR Puram,2 BHK,Saavem ,1021.0,2.0,1.0,48.0
Super built-up  Area,Ready To Move,Thigalarapalya,2 BHK,Prtanha,1165.0,2.0,2.0,95.0
Super built-up  Area,19-Mar,Horamavu Agara,3 BHK,Prhar G,1756.0,3.0,2.0,92.0
Super built-up  Area,Ready To Move,Bharathi Nagar,3 BHK,FoapeWa,1739.0,3.0,1.0,105.0
Super built-up  Area,Ready To Move,Varthur,2 BHK,Caiseur,1280.0,2.0,2.0,65.0
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,Unknown,1215.0,2.0,2.0,58.86
Super built-up  Area,18-Apr,Munnekollal,2 BHK,Sadhii ,950.0,2.0,1.0,46.5
Built-up  Area,Ready To Move,Kengeri,3 BHK,Unknown,1082.0,2.0,1.0,49.0
Super built-up  Area,Ready To Move,Devanahalli,2 BHK,Cerdsga,1080.0,2.0,0.0,53.35
Super built-up  Area,Ready To Move,Arekere,2 BHK,Maierr ,1100.0,2.0,2.0,55.0
Plot  Area,Ready To Move,Ardendale,4 Bedroom,Aling10,2490.0,4.0,1.0,205.0
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,PraleSi,1311.0,2.0,1.0,78.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,GrrvaGr,1608.0,3.0,1.0,67.98
Super built-up  Area,Ready To Move,Begur Road,2 BHK,Unknown,1160.0,2.0,2.0,36.0
Super built-up  Area,Ready To Move,Whitefield,2 BHK,Veitaus,1170.0,2.0,1.0,71.0
Super built-up  Area,Ready To Move,Kengeri,2 BHK,Unknown,1155.0,2.0,2.0,40.6
Super built-up  Area,18-Dec,Hebbal,3 BHK,Magiaya,1255.0,2.0,1.0,77.68
Super built-up  Area,Ready To Move,Rayasandra,2 BHK,Unknown,1065.0,2.0,2.0,44.95
Super built-up  Area,Ready To Move,Neeladri Nagar,1 BHK,Guenoa ,674.0,1.0,1.0,21.0
Super built-up  Area,Ready To Move,Ambedkar Nagar,3 BHK,Unknown,1936.0,4.0,2.0,126.0
Super built-up  Area,18-Dec,Sarakki Nagar,3 BHK,Unknown,2289.0,3.0,2.0,225.0
Super built-up  Area,Ready To Move,Abbaiah Reddy Layout,2 BHK,Unknown,1100.0,2.0,1.0,38.45
Super built-up  Area,Ready To Move,Ramagondanahalli,3 BHK,DNeremo,2257.0,4.0,2.0,157.0
Super built-up  Area,Ready To Move,Nagarbhavi,2 BHK,Unknown,1055.0,2.0,2.0,55.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,GrrvaGr,1530.0,3.0,3.0,51.87
Super built-up  Area,Ready To Move,Dinnur,3 BHK,Unknown,1700.0,3.0,1.0,97.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,Tentsw ,1575.0,2.0,2.0,78.0
Built-up  Area,Ready To Move,Frazer Town,3 BHK,Nanorkr,2490.0,4.0,2.0,225.0
Super built-up  Area,Ready To Move,Rajiv Nagar,2 BHK,Ahntyve,1263.0,2.0,1.0,93.32
Super built-up  Area,Ready To Move,KR Puram,3 BHK,MCvarar,1275.0,3.0,0.0,69.315
Super built-up  Area,Ready To Move,Kengeri Satellite Town,2 BHK,MB-laan,1043.0,2.0,2.0,65.0
Super built-up  Area,Ready To Move,Hennur,2 BHK,Shateor,1255.0,2.0,2.0,53.5
Super built-up  Area,18-Mar,JP Nagar,2 BHK,Shestut,1275.0,2.0,0.0,93.865
Super built-up  Area,18-Dec,Chandapura,1 BHK,Siageal,590.0,1.0,0.0,13.57
Plot  Area,Ready To Move,Yelahanka,3 Bedroom,Edreelm,1550.0,3.0,1.0,120.0
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Unknown,1220.0,3.0,3.0,56.0
Super built-up  Area,Ready To Move,Rustam Bagh Layout,3 BHK,Jants V,1900.0,3.0,3.0,160.0
Super built-up  Area,Ready To Move,Vasantha Vallabha Nagar,3 BHK,Unknown,1360.0,3.0,3.0,55.0
Built-up  Area,Ready To Move,Vyalikaval,2 BHK,Unknown,1100.0,2.0,1.0,75.0
Super built-up  Area,20-Mar,8th Phase JP Nagar,3 BHK,Vaarech,1455.0,3.0,2.0,73.31
Built-up  Area,Ready To Move,KR Puram,2 BHK,Hivesdr,1035.0,2.0,1.0,40.5
Super built-up  Area,Ready To Move,Harlur,2 BHK,Unknown,1152.0,2.0,2.0,69.0
Super built-up  Area,Ready To Move,Bellandur,2 BHK,OriewLa,1299.0,2.0,2.0,82.0
Super built-up  Area,Ready To Move,Rachenahalli,2 BHK,Sovar S,1050.0,2.0,2.0,52.5
Super built-up  Area,Ready To Move,Pai Layout,2 BHK,Unknown,1050.0,2.0,2.0,40.0
Super built-up  Area,Ready To Move,Vittasandra,2 BHK,Unknown,1246.0,2.0,1.0,67.4
Built-up  Area,Ready To Move,"Sarjapur Road, ",3 BHK,Unknown,1929.0,3.0,2.0,115.0
Super built-up  Area,Ready To Move,Hennur,2 BHK,Unknown,1285.0,2.0,1.0,60.0
Plot  Area,Ready To Move,Margondanahalli,3 Bedroom,Unknown,1200.0,2.0,0.0,65.0
Built-up  Area,Ready To Move,"Banaswadi, ",4 BHK,Unknown,2490.0,4.0,3.0,214.0
Built-up  Area,Ready To Move,BTM 2nd Stage,3 BHK,SNe 2ev,1850.0,3.0,2.0,170.0
Built-up  Area,Ready To Move,Sompura,3 BHK,Suiseit,1025.0,2.0,0.0,37.0
Built-up  Area,Ready To Move,Malleshwaram,2 BHK,SaeneSe,1124.0,3.0,2.0,80.0
Super built-up  Area,19-Dec,Balagere,2 BHK,Soresea,1012.0,2.0,1.0,54.59
Super built-up  Area,Ready To Move,Giri Nagar,7 BHK,Bancyri,2490.0,4.5,3.0,225.0
Super built-up  Area,Ready To Move,8th Phase JP Nagar,2 BHK,i1rtsCo,871.0,2.0,2.0,55.0
Built-up  Area,Ready To Move,Chinnapanahalli,2 BHK,Mae 2ow,1020.0,2.0,2.0,40.0
Super built-up  Area,Ready To Move,Rachenahalli,3 BHK,Sovar S,1550.0,3.0,3.0,73.5
Plot  Area,Ready To Move,Anand Nagar,3 Bedroom,Unknown,2490.0,3.0,1.0,225.0
Super built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,DLhtsnd,1410.0,2.0,2.0,80.0
Plot  Area,18-Dec,Chikka Tirupathi,4 Bedroom,Theanmp,2490.0,4.5,3.0,150.0
Super built-up  Area,18-Apr,Whitefield,2 BHK,Prtates,1118.0,2.0,1.0,75.0
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,Bhmesy ,1098.0,2.0,1.0,68.0
Super built-up  Area,Ready To Move,Kanakapura,2 BHK,Unknown,1130.0,2.0,1.0,45.2
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,Trurea ,1145.0,2.0,2.0,75.0
Plot  Area,Ready To Move,Kadugodi,3 Bedroom,Unknown,950.0,3.0,1.0,80.0
Super built-up  Area,Ready To Move,Balaji Gardens Layout,2 BHK,GSnts A,1051.0,2.0,1.0,33.0
